event_at,statId,chgerId,busiId,prev_stat,new_stat,gap_minutes,normal_ratio_prev6h,started_down_next6h,down_minutes_next6h,y_down_6h,n_events_6h,to_9_6h,to_1_6h,to_4_6h,to_5_6h,to_bad_6h,from9_to_normal_6h,from1_to_normal_6h,bad_to_normal_6h,n_events_24h,to_9_24h,to_1_24h,to_4_24h,to_5_24h,to_bad_24h,from9_to_normal_24h,from1_to_normal_24h,bad_to_normal_24h
2026-01-15T03:16:02,AM900029,12,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-16T03:16:02,AM900029,12,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-16T00:16:03,AM900030,15,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-16T01:16:02,AM900030,15,AM,9,2,30,0.8888888888888888,0,0,0,3,2,0,0,0,2,1,0,1,3,2,0,0,0,2,1,0,1
2026-01-16T04:56:02,AM900030,15,AM,9,2,10,0.8611111111111112,0,0,0,5,3,0,0,0,3,2,0,2,5,3,0,0,0,3,2,0,2
2026-01-14T03:06:02,AM900036,01,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-15T03:06:02,AM900036,01,AM,9,2,9,0.9722685185185185,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-16T03:06:02,AM900036,01,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-15T03:06:02,AM900036,11,AM,9,2,9,0.9722685185185185,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-16T03:06:02,AM900036,11,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-14T13:16:02,AM900037,03,AM,9,2,30,0.9166666666666666,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2026-01-14T19:26:02,AM900037,03,AM,9,2,40,0.8888888888888888,0,0,0,1,1,0,0,0,1,0,0,0,3,2,0,0,0,2,1,0,1
2026-01-14T20:46:02,AM900037,03,AM,9,2,10,0.8611111111111112,0,0,0,3,2,0,0,0,2,1,0,1,5,3,0,0,0,3,2,0,2
2026-01-15T16:16:02,AM900037,03,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,7,4,0,0,0,4,3,0,3
2026-01-15T19:36:02,AM900037,03,AM,9,2,50,0.8333333333333334,0,0,0,3,2,0,0,0,2,1,0,1,7,4,0,0,0,4,3,0,3
2026-01-15T20:46:02,AM900037,03,AM,9,2,40,0.7222222222222222,0,0,0,5,3,0,0,0,3,2,0,2,8,4,0,0,0,4,4,0,4
2026-01-13T14:26:02,AM900039,01,AM,5,3,10,0.9722222222222222,1,290,1,1,0,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,1
2026-01-13T14:56:02,AM900039,01,AM,5,3,10,0.9444444444444444,1,310,1,3,0,0,0,2,2,0,0,1,4,0,0,0,2,2,0,0,2
2026-01-13T15:26:02,AM900039,01,AM,5,3,10,0.9166666666666666,1,330,1,5,0,0,0,3,3,0,0,2,6,0,0,0,3,3,0,0,3
2026-01-14T03:06:02,AM900040,01,AM,9,2,10,0.9722222222222222,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
2026-01-15T03:06:02,AM900040,01,AM,9,2,9,0.9722685185185185,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,1
